timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1610578332060,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,5
1610578332066,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,1
1610578332068,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,5
1610578332074,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,0
1610578332075,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,1
1610578333059,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,1
1610578333061,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,1
1610578333063,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,2
1610578333066,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,2
1610578333069,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,1
1610578334060,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,5
1610578334066,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,1
1610578334070,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,2
1610578334073,7,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,7
1610578334080,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,3
1610578335058,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,1
1610578335060,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,1
1610578335061,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,2
1610578335063,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,2
1610578335066,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,4
